=> Saving data in Logs/FRL~try=830
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 218 | malicious users: 5 | test acc 0.8490 test loss 0.950210 best test_acc 0.9400
e 219 | malicious users: 5 | test acc 0.7897 test loss 1.176949 best test_acc 0.9400
e 220 | malicious users: 3 | test acc 0.9383 test loss 0.741297 best test_acc 0.9400
e 221 | malicious users: 6 | test acc 0.8072 test loss 0.822188 best test_acc 0.9400
e 222 | malicious users: 6 | test acc 0.8918 test loss 0.979083 best test_acc 0.9400
e 223 | malicious users: 3 | test acc 0.9052 test loss 0.798969 best test_acc 0.9400
e 224 | malicious users: 7 | test acc 0.9045 test loss 0.896933 best test_acc 0.9400
e 225 | malicious users: 7 | test acc 0.8378 test loss 0.903687 best test_acc 0.9400
e 226 | malicious users: 3 | test acc 0.9052 test loss 0.683900 best test_acc 0.9400
e 227 | malicious users: 4 | test acc 0.8598 test loss 0.948712 best test_acc 0.9400
e 228 | malicious users: 5 | test acc 0.8246 test loss 0.920111 best test_acc 0.9400
e 229 | malicious users: 4 | test acc 0.8345 test loss 0.890173 best test_acc 0.9400
e 230 | malicious users: 7 | test acc 0.8430 test loss 0.845682 best test_acc 0.9400
e 231 | malicious users: 6 | test acc 0.7348 test loss 1.069110 best test_acc 0.9400
e 232 | malicious users: 5 | test acc 0.8489 test loss 0.961624 best test_acc 0.9400
e 233 | malicious users: 4 | test acc 0.8629 test loss 0.863134 best test_acc 0.9400
e 234 | malicious users: 6 | test acc 0.8183 test loss 0.922585 best test_acc 0.9400
e 235 | malicious users: 2 | test acc 0.9322 test loss 0.651003 best test_acc 0.9400
e 236 | malicious users: 9 | test acc 0.8125 test loss 0.902024 best test_acc 0.9400
e 237 | malicious users: 4 | test acc 0.9227 test loss 0.639685 best test_acc 0.9400
e 238 | malicious users: 4 | test acc 0.8246 test loss 0.828212 best test_acc 0.9400
e 239 | malicious users: 3 | test acc 0.9207 test loss 0.642559 best test_acc 0.9400
e 240 | malicious users: 7 | test acc 0.8207 test loss 0.940954 best test_acc 0.9400
e 241 | malicious users: 6 | test acc 0.8804 test loss 0.876958 best test_acc 0.9400
e 242 | malicious users: 3 | test acc 0.9079 test loss 0.761438 best test_acc 0.9400
e 243 | malicious users: 8 | test acc 0.9162 test loss 0.845952 best test_acc 0.9400
e 244 | malicious users: 3 | test acc 0.9060 test loss 0.724103 best test_acc 0.9400
e 245 | malicious users: 4 | test acc 0.8373 test loss 0.781157 best test_acc 0.9400
e 246 | malicious users: 6 | test acc 0.8395 test loss 0.914689 best test_acc 0.9400
e 247 | malicious users: 4 | test acc 0.9253 test loss 0.786239 best test_acc 0.9400
e 248 | malicious users: 6 | test acc 0.7938 test loss 0.870471 best test_acc 0.9400
e 249 | malicious users: 5 | test acc 0.8333 test loss 0.827524 best test_acc 0.9400
e 250 | malicious users: 6 | test acc 0.8976 test loss 0.875308 best test_acc 0.9400
e 251 | malicious users: 6 | test acc 0.9329 test loss 0.722650 best test_acc 0.9400
e 252 | malicious users: 5 | test acc 0.8398 test loss 0.917762 best test_acc 0.9400
